Date,XLE,XLF,XLU,XLI,XLK,XLV,XLY,IYR,AAPL,XLB,XLP,SPY,^DJI,NDX
2023-01-11 00:00:00-05:00,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2023-01-12 00:00:00-05:00,1,0,0,1,1,0,0,1,0,1,0,1,1,1
2023-01-13 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-01-17 00:00:00-05:00,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2023-01-18 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19 00:00:00-05:00,1,1,0,0,0,1,0,0,1,0,0,0,0,0
2023-01-20 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-01-23 00:00:00-05:00,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-01-24 00:00:00-05:00,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2023-01-25 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-01-26 00:00:00-05:00,1,1,1,0,1,0,1,1,1,1,0,1,1,1
2023-01-27 00:00:00-05:00,0,1,1,1,1,0,1,1,1,1,0,1,1,1
2023-01-30 00:00:00-05:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-01-31 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-01 00:00:00-05:00,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-02 00:00:00-05:00,0,0,1,1,1,1,1,1,1,1,0,1,0,1
2023-02-03 00:00:00-05:00,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2023-02-06 00:00:00-05:00,0,1,1,1,0,0,1,1,0,0,1,1,1,0
2023-02-07 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-08 00:00:00-05:00,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2023-02-09 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-10 00:00:00-05:00,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2023-02-13 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-14 00:00:00-05:00,1,0,0,1,1,0,1,0,1,1,0,1,0,1
2023-02-15 00:00:00-05:00,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2023-02-16 00:00:00-05:00,0,0,1,1,0,0,0,1,1,1,1,0,0,0
2023-02-17 00:00:00-05:00,0,1,1,1,0,1,1,0,1,0,1,1,1,1
2023-02-21 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-02-22 00:00:00-05:00,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2023-02-23 00:00:00-05:00,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-02-24 00:00:00-05:00,1,1,1,1,0,0,1,0,0,1,1,1,0,0
2023-02-27 00:00:00-05:00,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2023-02-28 00:00:00-05:00,0,1,0,0,1,0,0,0,1,1,0,0,0,1
2023-03-01 00:00:00-05:00,1,1,0,1,0,1,0,0,0,1,0,0,1,0
2023-03-02 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-03-03 00:00:00-05:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-03-06 00:00:00-05:00,1,1,1,0,0,0,0,0,1,0,1,0,1,0
2023-03-07 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-08 00:00:00-05:00,0,0,1,1,1,0,0,1,1,1,1,1,0,1
2023-03-09 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-10 00:00:00-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-13 00:00:00-04:00,1,0,1,1,1,1,1,1,1,0,1,1,0,1
