,Date,Headline Mean,Body Mean
149,2023-02-09,-0.14,0.03
150,2023-02-10,-0.13,-0.17
151,2023-02-11,-0.19,0.08
152,2023-02-12,-0.12,0.13
153,2023-02-13,-0.14,-0.01
154,2023-02-14,-0.15,-0.1
155,2023-02-15,-0.1,-0.02
156,2023-02-16,-0.1,0.14
157,2023-02-17,-0.13,-0.12
158,2023-02-18,-0.23,-0.17
159,2023-02-19,-0.09,0.23
160,2023-02-20,-0.09,0.14
161,2023-02-21,-0.12,-0.13
162,2023-02-22,-0.17,-0.0
163,2023-02-23,-0.09,0.11
164,2023-02-24,-0.15,0.02
165,2023-02-25,-0.17,0.03
166,2023-02-26,-0.15,-0.13
167,2023-02-27,-0.12,0.01
168,2023-02-28,-0.1,0.2
169,2023-03-01,-0.15,0.17
170,2023-03-02,-0.13,-0.07
171,2023-03-03,-0.23,-0.08
172,2023-03-04,-0.17,-0.08
173,2023-03-05,-0.07,0.04
174,2023-03-06,-0.09,-0.01
175,2023-03-07,-0.13,-0.05
176,2023-03-08,-0.12,-0.09
177,2023-03-09,-0.12,0.14
178,2023-03-10,-0.11,-0.05
179,2023-03-11,-0.1,0.04
180,2023-03-12,-0.06,0.26
181,2023-03-13,-0.13,0.05
