Date,Headline Mean,Headline Median,Body Mean,Body Median
2022-03-13,-0.11,0.0,0.22,0.25
2022-03-14,-0.05,0.0,-0.03,0.0
2022-03-15,-0.09,0.0,0.02,0.0
2022-03-16,-0.06,0.0,-0.0,0.0
2022-03-17,-0.02,0.0,-0.05,0.0
2022-03-18,-0.06,0.0,-0.05,-0.08
2022-03-19,-0.12,-0.05,-0.11,0.0
2022-03-20,0.0,0.0,0.0,0.0
2022-03-21,-0.08,0.0,0.05,0.0
2022-03-22,0.01,0.0,-0.07,0.0
2022-03-23,0.0,0.0,0.04,0.0
2022-03-24,0.03,0.0,0.05,0.0
2022-03-25,-0.08,0.0,0.16,0.25
2022-03-26,0.13,0.0,0.35,0.37
2022-03-27,-0.09,0.0,0.06,0.05
2022-03-28,0.1,0.0,0.12,0.0
2022-03-29,0.02,0.0,0.08,0.03
2022-03-30,-0.06,0.0,0.03,0.0
2022-03-31,0.02,0.0,-0.01,0.0
2022-04-01,-0.02,0.0,-0.08,-0.03
2022-04-02,0.02,0.0,0.09,0.05
2022-04-03,-0.03,0.0,-0.26,-0.25
2022-04-04,0.1,0.0,0.15,0.19
2022-04-05,0.0,0.0,0.06,0.0
2022-04-06,-0.01,0.0,0.08,0.0
2022-04-07,-0.07,0.0,0.11,0.0
2022-04-08,-0.08,0.0,-0.04,-0.12
2022-04-09,-0.4,-0.4,-0.08,-0.08
2022-04-10,-0.01,0.0,-0.08,0.0
2022-04-11,-0.06,-0.05,-0.15,0.0
2022-04-12,-0.03,0.0,0.27,0.34
2022-04-13,0.03,0.0,0.05,0.0
2022-04-14,-0.07,0.0,0.05,0.0
2022-04-15,-0.04,0.0,-0.07,0.0
2022-04-16,-0.05,0.0,0.14,0.02
2022-04-17,0.04,0.0,-0.03,0.0
2022-04-18,0.12,0.0,-0.02,0.0
2022-04-19,-0.02,0.0,-0.02,0.0
2022-04-20,-0.04,0.0,-0.01,0.0
2022-04-21,0.04,0.0,0.03,0.0
2022-04-22,-0.04,0.0,-0.11,-0.18
2022-04-23,0.15,0.0,-0.02,0.0
2022-04-24,0.06,0.0,0.14,0.0
2022-04-25,0.05,0.0,0.19,0.0
2022-04-26,0.0,0.0,-0.03,0.0
2022-04-27,0.01,0.0,0.13,0.2
2022-04-28,-0.03,0.0,0.18,0.0
2022-04-29,-0.0,0.0,-0.1,0.0
2022-04-30,-0.16,0.0,-0.09,0.0
2022-05-01,0.16,0.0,0.15,0.0
2022-05-02,-0.08,-0.06,0.0,0.0
2022-05-03,-0.04,0.0,0.2,0.34
2022-05-04,0.01,0.0,0.15,0.0
2022-05-05,0.03,0.0,0.09,0.0
2022-05-06,0.07,0.0,-0.01,0.0
2022-05-07,-0.01,0.0,0.12,0.23
2022-05-08,0.13,0.09,0.15,0.04
2022-05-09,0.05,0.0,0.02,0.0
2022-05-10,0.0,0.0,0.06,0.0
2022-05-11,0.01,0.0,0.13,0.0
2022-05-12,-0.04,0.0,-0.0,0.0
2022-05-13,0.06,0.0,0.07,0.0
2022-05-14,0.02,-0.03,0.14,0.19
2022-05-15,0.07,0.0,0.22,0.24
2022-05-16,-0.06,0.0,0.06,0.0
2022-05-17,-0.08,0.0,0.02,0.03
2022-05-18,-0.1,0.0,-0.06,0.0
2022-05-19,-0.07,0.0,-0.0,0.0
2022-05-20,-0.06,0.0,0.05,0.0
2022-05-21,0.15,0.0,0.1,0.0
2022-05-22,0.0,0.0,0.02,0.0
2022-05-23,-0.0,0.0,-0.03,0.0
2022-05-24,-0.09,0.0,0.08,0.0
2022-05-25,-0.06,0.0,0.2,0.32
2022-05-26,-0.07,0.0,0.02,0.0
2022-05-27,0.08,0.0,-0.2,-0.16
2022-05-28,-0.24,-0.15,0.03,0.0
2022-05-29,-0.16,-0.12,0.06,0.0
2022-05-30,0.11,0.09,0.19,0.2
2022-05-31,0.02,0.0,-0.14,-0.3
2022-06-01,-0.05,0.0,-0.05,0.0
2022-06-02,0.04,0.0,0.02,0.0
2022-06-03,-0.04,0.0,-0.03,0.0
2022-06-04,0.0,0.0,-0.01,0.05
2022-06-05,-0.18,0.0,-0.01,0.0
2022-06-06,-0.04,0.0,-0.15,0.0
2022-06-07,-0.03,0.0,0.02,0.0
2022-06-08,-0.02,0.0,0.13,0.0
2022-06-09,0.03,0.0,0.19,0.0
2022-06-10,0.0,0.0,-0.08,0.0
2022-06-11,-0.0,0.0,0.16,0.19
2022-06-12,-0.17,0.0,-0.13,-0.12
2022-06-13,-0.04,0.0,-0.03,0.0
2022-06-14,0.02,0.0,-0.0,0.0
2022-06-15,0.05,0.0,0.16,0.0
2022-06-16,-0.06,0.0,-0.05,0.0
2022-06-17,-0.03,0.0,-0.08,0.0
2022-06-18,-0.22,0.0,-0.1,-0.03
2022-06-19,-0.12,0.0,0.18,0.15
2022-06-20,-0.13,0.0,-0.1,0.2
2022-06-21,0.04,0.0,0.01,0.0
2022-06-22,-0.02,0.0,0.04,0.0
2022-06-23,-0.18,0.0,0.0,0.0
2022-06-24,-0.07,0.0,0.08,0.0
2022-06-25,-0.15,-0.08,-0.07,0.0
2022-06-26,-0.1,0.0,0.14,0.1
2022-06-27,-0.07,0.0,0.14,0.2
2022-06-28,-0.05,0.0,-0.02,0.0
2022-06-29,-0.12,0.0,-0.02,0.0
2022-06-30,0.04,0.0,-0.13,-0.15
2022-07-01,-0.08,0.0,0.07,0.1
2022-07-02,-0.16,-0.12,-0.23,-0.14
2022-07-03,-0.05,0.0,0.03,-0.06
2022-07-04,0.01,0.0,0.07,0.0
2022-07-05,-0.03,0.0,-0.21,-0.25
2022-07-06,-0.01,0.0,0.07,0.0
2022-07-07,-0.02,0.0,0.05,0.0
2022-07-08,0.01,0.0,0.23,0.0
2022-07-09,-0.27,-0.43,0.12,0.26
2022-07-10,-0.13,-0.04,0.04,0.0
2022-07-11,-0.21,-0.24,0.04,0.0
2022-07-12,-0.01,0.0,0.04,0.0
2022-07-13,-0.06,0.0,0.01,0.0
2022-07-14,0.01,0.0,0.0,0.0
2022-07-15,-0.1,-0.04,0.1,0.02
2022-07-16,-0.12,-0.33,-0.09,-0.08
2022-07-17,-0.1,0.0,0.44,0.46
2022-07-18,0.06,0.0,0.27,0.32
2022-07-19,-0.0,0.0,0.07,0.0
2022-07-20,-0.13,0.0,-0.0,0.0
2022-07-21,0.03,0.0,-0.03,0.0
2022-07-22,-0.07,0.0,-0.03,0.0
2022-07-23,-0.03,0.0,-0.06,0.0
2022-07-24,0.0,0.0,-0.16,0.0
2022-07-25,0.08,0.0,0.01,0.0
2022-07-26,-0.08,0.0,0.1,0.03
2022-07-27,0.04,0.0,0.05,0.0
2022-07-28,0.04,0.0,0.04,0.0
2022-07-29,0.11,0.0,0.22,0.19
2022-07-30,0.17,0.0,-0.14,0.0
2022-07-31,-0.11,-0.11,0.07,-0.05
2022-08-01,-0.02,0.0,-0.16,-0.03
2022-08-02,-0.03,0.0,0.04,0.04
2022-08-03,0.11,0.0,0.08,0.0
2022-08-04,-0.02,0.0,-0.04,0.0
2022-08-05,0.01,0.0,0.22,0.3
2022-08-06,-0.24,-0.34,0.24,0.15
2022-08-07,0.19,0.19,0.22,0.22
2022-08-08,-0.05,0.0,0.16,0.0
2022-08-09,0.01,0.0,-0.01,0.0
2022-08-10,-0.05,0.0,0.19,0.09
2022-08-11,-0.11,0.0,-0.06,0.0
2022-08-12,-0.1,-0.04,0.13,0.09
2022-08-13,-0.03,0.0,0.09,0.05
2022-08-14,-0.13,0.0,-0.05,0.0
2022-08-15,-0.04,0.0,0.11,0.11
2022-08-16,-0.2,-0.11,-0.08,-0.22
2022-08-17,0.01,0.0,0.19,0.2
2022-08-18,-0.01,0.0,-0.18,-0.12
2022-08-19,0.03,0.0,-0.02,0.0
2022-08-20,0.18,0.0,0.09,0.3
2022-08-21,-0.11,0.0,0.08,0.0
2022-08-22,-0.03,0.0,0.09,0.0
2022-08-23,0.09,0.0,0.11,0.2
2022-08-24,0.08,0.0,0.14,0.0
2022-08-25,0.06,0.0,0.04,0.0
2022-08-26,0.04,0.0,0.0,0.0
2022-08-27,-0.03,0.0,-0.01,-0.15
2022-08-28,0.04,0.0,0.1,0.0
2022-08-29,0.03,0.0,-0.0,0.0
2022-08-30,0.07,0.0,0.04,0.08
2022-08-31,0.02,0.0,0.05,0.0
2022-09-01,0.0,0.0,0.15,0.15
2022-09-02,0.14,0.0,0.04,0.0
2022-09-03,0.04,0.0,-0.1,-0.05
2022-09-04,0.04,0.0,0.06,0.0
2022-09-05,-0.06,0.0,-0.12,0.0
2022-09-06,-0.05,0.0,0.02,0.0
2022-09-07,0.09,0.0,-0.07,0.0
2022-09-08,-0.04,0.0,-0.02,0.0
2022-09-09,-0.01,0.0,0.14,0.14
2022-09-10,0.09,0.0,0.13,0.0
2022-09-11,0.01,0.0,-0.14,0.0
2022-09-12,-0.1,0.0,-0.06,-0.13
2022-09-13,-0.05,0.0,-0.03,-0.03
