Date,XLE,XLF,XLU,XLI,XLK,XLV,XLY,IYR,AAPL,XLB,XLP,SPY,^DJI,NDX,guardian_headline_mean,guardian_body_mean,guardian_headline_median,guardian_body_median,guardian_headline_min,guardian_headline_max,guardian_body_min,guardian_body_max,Huff_headline_mean,Huff_body_mean,Huff_headline_median,Huff_body_median,Huff_headline_max,Huff_body_max,Huff_headline_min,Huff_body_min,NYT_headline_mean,NYT_headline_median,NYT_body_mean,NYT_body_median,NYT_headline_max,NYT_headline_min,NYT_body_max,NYT_body_min
2022-04-06,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.13,-0.16,0.0,-0.84,-0.88,0.67,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.08,0.0,0.93,-0.85,0.91,-0.91
2022-04-07,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.09,0.05,0.0,0.66,-0.87,0.77,-1.0,1.0,-0.2,-0.29,0.0,-0.53,0.0,0.25,-0.6,-0.6,-0.07,0.0,0.11,0.0,0.78,-0.87,0.89,-0.96
2022-04-08,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.2,-0.04,0.0,-0.35,-0.9,0.72,-1.0,1.0,-0.4,0.22,-0.4,0.22,0.0,0.46,-0.81,-0.03,-0.08,0.0,-0.04,-0.12,0.81,-0.82,0.86,-0.95
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.06,0.0,-0.27,-0.94,0.64,-1.0,1.0,-0.0,0.19,-0.23,0.0,0.56,0.57,-0.34,0.0,-0.06,-0.05,-0.15,0.0,0.83,-0.79,0.74,-0.89
2022-04-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.19,-0.26,-0.12,-0.93,-0.94,0.77,-1.0,1.0,-0.46,0.38,-0.45,0.4,-0.23,0.72,-0.74,0.0,-0.03,0.0,0.27,0.34,0.76,-0.9,0.87,-0.9
2022-04-13,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.2,-0.04,-0.87,-0.83,0.74,-1.0,1.0,0.03,-0.31,0.01,-0.19,0.76,0.0,-0.67,-0.88,0.03,0.0,0.05,0.0,0.86,-0.92,0.91,-0.9
2022-04-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.26,0.0,-0.87,-0.86,0.62,-1.0,1.0,0.13,0.16,0.0,0.0,0.4,0.49,0.0,0.0,-0.07,0.0,0.05,0.0,0.64,-0.8,0.82,-0.81
2022-04-18,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.11,-0.07,0.0,-0.43,-0.84,0.74,-1.0,1.0,0.02,0.07,0.0,0.4,0.4,0.68,-0.46,-0.78,0.12,0.0,-0.02,0.0,0.8,-0.76,0.85,-0.86
2022-04-19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06,-0.06,0.0,-0.39,-0.89,0.61,-1.0,1.0,-0.02,-0.17,0.03,-0.09,0.53,0.36,-0.42,-0.8,-0.02,0.0,-0.02,0.0,0.86,-0.83,0.89,-0.95
2022-04-20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.16,-0.08,-0.1,-0.28,-0.88,0.71,-1.0,1.0,-0.28,0.03,-0.28,0.03,0.0,0.72,-0.56,-0.65,-0.04,0.0,-0.01,0.0,0.64,-0.91,0.87,-0.89
