Date,Headline Mean,Headline Median,Body Mean,Body Median
2022-11-09,0.09,0.0,0.01,0.0
2022-11-10,-0.06,0.0,0.18,0.1
2022-11-11,-0.13,0.0,-0.2,-0.28
2022-11-12,-0.14,0.0,-0.11,-0.03
2022-11-13,0.0,0.0,0.39,0.49
2022-11-14,-0.13,0.0,-0.12,0.0
2022-11-15,-0.09,0.0,0.06,0.0
2022-11-16,-0.03,0.0,0.13,0.0
2022-11-17,-0.15,0.0,-0.15,0.0
2022-11-18,-0.0,0.0,-0.02,0.0
2022-11-19,-0.19,-0.23,-0.04,0.0
2022-11-20,-0.05,0.0,-0.05,0.0
2022-11-21,-0.03,0.0,0.16,0.2
2022-11-22,0.03,0.0,0.04,0.0
2022-11-23,0.07,0.0,0.09,0.13
2022-11-24,0.21,0.0,-0.05,0.0
2022-11-25,-0.28,-0.44,0.2,0.15
2022-11-26,0.2,0.04,-0.03,0.0
2022-11-27,-0.1,0.0,-0.06,-0.13
2022-11-28,-0.1,0.0,-0.29,-0.42
2022-11-29,-0.13,0.0,-0.24,-0.16
2022-11-30,0.0,0.0,0.03,0.0
2022-12-01,-0.1,0.0,-0.13,0.0
2022-12-02,0.06,0.0,0.27,0.38
2022-12-03,-0.27,-0.27,0.15,0.0
2022-12-04,-0.24,-0.16,-0.15,-0.2
2022-12-05,0.09,0.0,-0.1,0.0
2022-12-06,-0.13,0.0,0.08,0.01
2022-12-07,0.0,0.0,0.0,0.0
2022-12-08,0.03,0.0,0.08,0.0
2022-12-09,-0.08,0.0,0.07,0.0
2022-12-10,-0.07,-0.08,-0.05,-0.06
2022-12-11,0.0,0.0,0.14,0.3
2022-12-12,-0.18,0.0,0.06,0.1
2022-12-13,-0.08,0.0,-0.12,-0.23
2022-12-14,0.02,0.0,0.03,0.0
2022-12-15,-0.07,0.0,0.06,0.06
2022-12-16,-0.14,0.0,0.02,0.0
2022-12-17,-0.13,0.0,-0.03,0.0
2022-12-18,-0.04,0.0,-0.17,-0.42
2022-12-19,-0.15,0.0,-0.22,-0.28
2022-12-20,0.05,0.0,0.1,0.2
2022-12-21,-0.06,0.0,0.14,0.0
2022-12-22,-0.11,0.0,-0.11,-0.08
2022-12-23,-0.04,0.0,0.02,0.0
2022-12-24,0.18,0.32,0.33,0.4
2022-12-25,-0.23,-0.23,0.07,0.07
2022-12-26,0.2,0.18,-0.17,-0.19
2022-12-27,0.08,0.0,0.17,0.25
