Date,Headline Mean,Headline Median,Body Mean,Body Median,Headline Max,Headline Min,Body Max,Body Min
2022-05-26,-0.07,0.0,0.02,0.0,0.85,-0.9,0.9,-0.9
2022-05-27,0.08,0.0,-0.2,-0.16,0.8,-0.9,0.86,-0.88
2022-05-28,-0.24,-0.15,0.03,0.0,0.74,-0.9,0.85,-0.93
2022-05-29,-0.16,-0.12,0.06,0.0,0.53,-0.78,0.71,-0.84
2022-05-30,0.11,0.09,0.19,0.2,0.7,-0.93,0.8,-0.91
2022-05-31,0.02,0.0,-0.14,-0.3,0.83,-0.84,0.87,-0.87
2022-06-01,-0.05,0.0,-0.05,0.0,0.81,-0.93,0.92,-0.97
2022-06-02,0.04,0.0,0.02,0.0,0.79,-0.95,0.92,-0.93
2022-06-03,-0.04,0.0,-0.03,0.0,0.8,-0.93,0.88,-0.94
2022-06-04,0.0,0.0,-0.01,0.05,0.64,-0.86,0.86,-0.87
2022-06-05,-0.18,0.0,-0.01,0.0,0.76,-0.89,0.82,-0.84
2022-06-06,-0.04,0.0,-0.15,0.0,0.81,-0.88,0.87,-0.89
2022-06-07,-0.03,0.0,0.02,0.0,0.7,-0.82,0.9,-0.85
2022-06-08,-0.02,0.0,0.13,0.0,0.86,-0.85,0.85,-0.93
2022-06-09,0.03,0.0,0.19,0.0,0.8,-0.9,0.97,-0.87
2022-06-10,0.0,0.0,-0.08,0.0,0.78,-0.94,0.85,-0.94
2022-06-11,-0.0,0.0,0.16,0.19,0.81,-0.76,0.95,-0.92
2022-06-12,-0.17,0.0,-0.13,-0.12,0.76,-0.83,0.92,-0.76
2022-06-13,-0.04,0.0,-0.03,0.0,0.9,-0.89,0.99,-0.92
2022-06-14,0.02,0.0,-0.0,0.0,0.9,-0.76,0.88,-0.93
2022-06-15,0.05,0.0,0.16,0.0,0.87,-0.85,0.88,-0.96
2022-06-16,-0.06,0.0,-0.05,0.0,0.66,-0.91,0.91,-0.93
2022-06-17,-0.03,0.0,-0.08,0.0,0.77,-0.89,0.91,-0.88
2022-06-18,-0.22,0.0,-0.1,-0.03,0.67,-0.86,0.85,-0.9
2022-06-19,-0.12,0.0,0.18,0.15,0.61,-0.9,0.92,-0.91
2022-06-20,-0.13,0.0,-0.1,0.2,0.66,-0.91,0.9,-0.86
2022-06-21,0.04,0.0,0.01,0.0,0.75,-0.84,0.91,-0.94
2022-06-22,-0.02,0.0,0.04,0.0,0.79,-0.9,0.9,-0.96
2022-06-23,-0.18,0.0,0.0,0.0,0.84,-0.8,0.88,-0.93
2022-06-24,-0.07,0.0,0.08,0.0,0.88,-0.82,0.83,-0.91
2022-06-25,-0.15,-0.08,-0.07,0.0,0.74,-0.76,0.84,-0.89
2022-06-26,-0.1,0.0,0.14,0.1,0.77,-0.83,0.88,-0.87
2022-06-27,-0.07,0.0,0.14,0.2,0.73,-0.91,0.87,-0.87
2022-06-28,-0.05,0.0,-0.02,0.0,0.86,-0.92,0.94,-0.94
2022-06-29,-0.12,0.0,-0.02,0.0,0.84,-0.89,0.91,-0.88
2022-06-30,0.04,0.0,-0.13,-0.15,0.79,-0.88,0.83,-0.86
2022-07-01,-0.08,0.0,0.07,0.1,0.9,-0.8,0.89,-0.9
2022-07-02,-0.16,-0.12,-0.23,-0.14,0.66,-0.87,0.95,-0.93
2022-07-03,-0.05,0.0,0.03,-0.06,0.8,-0.8,0.9,-0.9
2022-07-04,0.01,0.0,0.07,0.0,0.76,-0.81,0.88,-0.9
2022-07-05,-0.03,0.0,-0.21,-0.25,0.85,-0.9,0.94,-0.95
2022-07-06,-0.01,0.0,0.07,0.0,0.9,-0.88,0.94,-0.92
2022-07-07,-0.02,0.0,0.05,0.0,0.89,-0.85,0.88,-0.92
2022-07-08,0.01,0.0,0.23,0.0,0.8,-0.88,0.88,-0.9
2022-07-09,-0.27,-0.43,0.12,0.26,0.84,-0.91,0.79,-0.91
